File_Name,Channel_1_mean,Channel_1_std,Channel_1_max,Channel_1_min,Channel_1_rms,Channel_1_peak_to_peak,Channel_2_mean,Channel_2_std,Channel_2_max,Channel_2_min,Channel_2_rms,Channel_2_peak_to_peak,Channel_3_mean,Channel_3_std,Channel_3_max,Channel_3_min,Channel_3_rms,Channel_3_peak_to_peak,Channel_4_mean,Channel_4_std,Channel_4_max,Channel_4_min,Channel_4_rms,Channel_4_peak_to_peak
2004.02.12.10.32,-0.01019599609375,0.07347493104305192,0.454,-0.386,0.07417899856512623,0.8400000000000001,-0.012694970703124999,0.09005347464156324,0.464,-0.513,0.09094388696428075,0.9770000000000001,-0.014540966796874999,0.10843350938911966,1.023,-0.911,0.10940413919878957,1.934,-0.0100259765625,0.0531663902091768,0.193,-0.264,0.05410346803954669,0.457
2004.02.12.10.42,-0.002585009765625,0.07533812128951384,0.369,-0.388,0.07538245681139528,0.757,-0.0025609375,0.09338377948549788,0.457,-0.481,0.09341888819652586,0.938,-0.002460791015625,0.10978975747066774,0.752,-0.681,0.10981733168262023,1.433,-0.0037836914062500003,0.055973118789277056,0.249,-0.229,0.05610085870694182,0.478
2004.02.12.10.52,-0.002483984375,0.0761892927992494,0.503,-0.4,0.07622977446919937,0.903,-0.0016954589843749999,0.0937025602830463,0.491,-0.503,0.0937178978891739,0.994,-0.0015954589843749998,0.10984946406227844,0.933,-0.786,0.10986104971344769,1.719,-0.0034853515625,0.05603693397230999,0.354,-0.334,0.0561452192491155,0.688
2004.02.12.11.02,-0.002276611328125,0.07869075089989153,0.608,-0.576,0.07872367646602975,1.184,-0.0023928222656249996,0.09291629369506194,0.569,-0.474,0.09294709910708282,1.043,-0.00314794921875,0.1106217530671688,1.016,-0.935,0.11066653439923697,1.951,-0.0037407714843749997,0.05668413146164508,0.513,-0.525,0.05680743024340545,1.038
2004.02.12.11.12,-0.002403857421875,0.07843746411081838,0.391,-0.391,0.07847429073677968,0.782,-0.0015590332031250001,0.09533522183796202,0.452,-0.486,0.09534796855424806,0.938,-0.0011584960937499995,0.10749935762927618,0.745,-0.771,0.1075055998723148,1.516,-0.002702587890625,0.056776655815982784,0.244,-0.212,0.05684094146786386,0.45599999999999996
2004.02.12.11.22,-0.001623095703125,0.07829782000144782,0.439,-0.366,0.07831464139380724,0.8049999999999999,-0.0014525878906250002,0.09239330152210377,0.574,-0.386,0.09240471945595839,0.96,-0.000841552734375,0.11051402335158485,0.862,-0.781,0.11051722747318346,1.643,-0.002821826171875,0.05549422955454554,0.247,-0.242,0.05556592676089255,0.489
2004.02.12.11.32,-0.0016064453124999996,0.07861603186545633,0.388,-0.408,0.07863244325857172,0.796,-0.0016959472656250002,0.09390317165909703,0.583,-0.457,0.09391848531980072,1.04,-0.00185634765625,0.10737186617198258,0.896,-0.718,0.10738791213109138,1.6139999999999999,-0.0029048828125,0.05620405793625485,0.239,-0.217,0.05627907668624504,0.45599999999999996
2004.02.12.11.42,-0.00202666015625,0.07774646967579023,0.415,-0.334,0.07777288022464836,0.749,-0.0017436523437500003,0.09322421104069685,0.41,-0.41,0.09324051612714428,0.82,-0.0017033203125000004,0.10621897924323846,0.771,-0.776,0.10623263552958902,1.5470000000000002,-0.002330029296875,0.05545575654680791,0.229,-0.227,0.05550468422307368,0.456
2004.02.12.11.52,-0.0019162109375,0.07900619543360511,0.386,-0.361,0.07902942984262255,0.747,-0.0008009765624999998,0.09585589739527024,0.457,-0.613,0.09585924383650357,1.07,-0.0013142089843750002,0.1105786094170331,0.967,-0.769,0.11058641872246056,1.736,-0.0025391113281250004,0.05579735616208901,0.227,-0.33,0.05585509861253156,0.557
2004.02.12.12.02,-0.002096630859375,0.07568852631669241,0.378,-0.344,0.07571755989830316,0.722,-0.00171689453125,0.09472631335134558,0.417,-0.466,0.09474187125009063,0.883,-0.001896240234375,0.10975436897591669,0.781,-0.664,0.10977074854590418,1.445,-0.0027732910156249998,0.05539022980738145,0.291,-0.254,0.0554596132439803,0.5449999999999999
2004.02.12.12.12,-0.0017912597656250002,0.07922086801763584,0.4,-0.415,0.07924111648011797,0.815,-0.001935546875,0.09512641592087304,0.4,-0.393,0.09514610526793123,0.793,-0.0020170410156250002,0.10600452642087112,0.61,-0.608,0.10602371468766728,1.218,-0.0030745605468749998,0.05543830376832633,0.291,-0.249,0.05552349455199686,0.54
2004.02.12.12.22,-0.0015550292968750002,0.07762333368719734,0.474,-0.439,0.077638908086269,0.913,-0.001974072265625,0.09330818738788127,0.403,-0.415,0.09332906725625129,0.8180000000000001,-0.001922607421875,0.10458645271002825,0.867,-0.728,0.10460412281437871,1.595,-0.002776904296875,0.05470372691209322,0.229,-0.276,0.054774163029177134,0.505
2004.02.12.12.32,-0.00245126953125,0.07736575740151559,0.4,-0.378,0.07740458087623109,0.778,-0.001786181640625,0.09436361497175338,0.615,-0.43,0.09438051851622042,1.045,-0.0018608886718750003,0.10440576658070191,0.615,-0.598,0.10442234914975398,1.213,-0.003140380859375,0.05459959426227402,0.234,-0.222,0.05468983164672273,0.456
2004.02.12.12.42,-0.0010339843750000002,0.07985799357629145,0.42,-0.432,0.07986468720103242,0.852,-0.001261376953125,0.09483180934131623,0.417,-0.359,0.09484019788447104,0.776,-0.00175244140625,0.10487944085081766,0.684,-0.642,0.10489408069125017,1.326,-0.0028952636718749996,0.05617946112741912,0.247,-0.266,0.0562540167836651,0.513
2004.02.12.12.52,-0.0023719238281249997,0.07918146190235564,0.422,-0.383,0.07921698007145074,0.8049999999999999,-0.001698291015625,0.09476723559538852,0.461,-0.386,0.09478245161824854,0.847,-0.0015814453125,0.10365067067184645,0.691,-0.679,0.10366273438415563,1.37,-0.003035791015625,0.05554911289672028,0.22,-0.227,0.05563200491356684,0.447
2004.02.12.13.02,-0.0015209960937499999,0.07864707093207793,0.354,-0.371,0.07866177721938719,0.725,-0.00122109375,0.09462320292410424,0.474,-0.513,0.09463108158296882,0.987,-0.001826806640625,0.10470795711576625,0.725,-0.671,0.10472389176238331,1.396,-0.003251123046875,0.056228963720163415,0.291,-0.247,0.056322874235157555,0.538
